Tue, 07 Dec 2021 17:49:37 WARNING   * Debugger is active!
Tue, 07 Dec 2021 17:49:37 INFO      * Debugger PIN: 864-800-101
Tue, 07 Dec 2021 17:49:38 WARNING   * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
Tue, 07 Dec 2021 17:49:38 INFO      * Running on http://192.168.0.105:5000/ (Press CTRL+C to quit)
Tue, 07 Dec 2021 17:49:38 INFO     192.168.0.105 - - [07/Dec/2021 17:49:38] "GET /login HTTP/1.1" 200 -
Tue, 07 Dec 2021 17:49:38 INFO     192.168.0.105 - - [07/Dec/2021 17:49:38] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
Tue, 07 Dec 2021 17:49:40 INFO     192.168.0.105 - - [07/Dec/2021 17:49:40] "GET /hospitals HTTP/1.1" 200 -
Tue, 07 Dec 2021 17:49:40 INFO     192.168.0.105 - - [07/Dec/2021 17:49:40] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
Tue, 07 Dec 2021 17:49:40 INFO     192.168.0.105 - - [07/Dec/2021 17:49:40] "[36mGET /static/js/departments_of_hospital/departments.js HTTP/1.1[0m" 304 -
Tue, 07 Dec 2021 17:49:41 INFO     192.168.0.105 - - [07/Dec/2021 17:49:41] "GET /api/hospitals HTTP/1.1" 200 -
Tue, 07 Dec 2021 17:49:42 INFO     192.168.0.105 - - [07/Dec/2021 17:49:42] "GET /login HTTP/1.1" 200 -
Tue, 07 Dec 2021 17:49:42 INFO     192.168.0.105 - - [07/Dec/2021 17:49:42] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
Tue, 07 Dec 2021 17:49:45 INFO     192.168.0.105 - - [07/Dec/2021 17:49:45] "[32mPOST /login HTTP/1.1[0m" 302 -
Tue, 07 Dec 2021 17:49:45 INFO     192.168.0.105 - - [07/Dec/2021 17:49:45] "GET /home HTTP/1.1" 200 -
Tue, 07 Dec 2021 17:49:45 INFO     192.168.0.105 - - [07/Dec/2021 17:49:45] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
Tue, 07 Dec 2021 17:49:45 INFO     192.168.0.105 - - [07/Dec/2021 17:49:45] "[36mGET /static/images/hospital.jpg HTTP/1.1[0m" 304 -
Tue, 07 Dec 2021 17:49:47 INFO     192.168.0.105 - - [07/Dec/2021 17:49:47] "GET /profile HTTP/1.1" 200 -
Tue, 07 Dec 2021 17:49:47 INFO     192.168.0.105 - - [07/Dec/2021 17:49:47] "[36mGET /static/css/styles.css HTTP/1.1[0m" 304 -
Tue, 07 Dec 2021 17:49:47 INFO     192.168.0.105 - - [07/Dec/2021 17:49:47] "GET /avatar HTTP/1.1" 200 -
192.168.0.105 - - [07/Dec/2021 17:49:47] "GET /avatar HTTP/1.1" 200 -
